username,tweetcreatedts,text
moekartho,2022-03-25 07:04:44,"@MonangDjihado @ShamsiAli2 Semoga tidak gampang di bodohi ya pak, ya gak mau bayar tes antigen, tinggal boster gratis, malah nanti di siapkan tmpt vaksin di kantong2 pemberangkatan mudik, kurang baik apa lagi pemerintah ? Pemerintah mau yg mudik aman gak terkena virus masih aja di nyinyirin https://t.co/hEngBUBgEL"
AminMualim,2022-03-25 06:36:55,"Order yuk sis... 
yang penting laku 
😅😅😅
pake promo sekalian pakde, vaksin 2x gratis 1x https://t.co/mhIAt3kjI3"
agussantosas23,2022-03-25 06:15:29,@ShamsiAli2 Vaksin gratis tujuan agar kebal covid dan mencegah penyebaran covid.
UNSfess_,2022-03-25 06:10:45,-11fess vaksin booster yg di puskesmas gitu bayar apa gratis?
jpnncom,2022-03-25 06:09:40,"#BeritaTerpopuler 
Suntik Vaksin dapat Minyak Goreng Gratis, Ini Syaratnya
#Vaksin #Booster #VaksinBooster #MinyakGoreng 

https://t.co/yaML3WLyr8"
mahameru1897,2022-03-25 06:09:01,"@ba_wcksn @yyeorobun @detikcom Mo vaksin ato gak itu hak masing orang gak boleh dipaksa n dilindungi UU...bukan masalah gratis n cepet, tuh tai ayam jg gratis n ada dimna2 tp orang gak mau ya jgn dipaksa!!!"
cctv_tk_blokir,2022-03-25 05:42:49,@republikaonline Vaksin booster gratis apanya yang mempersulit ya? Tau sendiri orang kita itu malas kalau gak dipaksa dalam tanda kutip!
jeany_abigail,2022-03-25 05:35:08,"@Candraasmara85 Hanya diketemukan kerja kerja pada kepeminpinan Jokowi.
Diketemukan banyak jalan tol baru, Mandalika, vaksin gratis dan rizik bubar ditangkap
Hidup pak jokowi
Salam 3 periode"
Sugito92161344,2022-03-25 05:30:47,#FOTO Minyak goreng tengah diburu masyarakat karena langka di pasaran. Program vaksinasi COVID-19 di Kudus ini pun sediakan minyak goreng gratis untuk warga. https://t.co/2KNJYd3rHz
PokoknyaNabilla,2022-03-25 05:30:17,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
itha3n,2022-03-25 05:19:38,"@susipudjiastuti Ya udah. Vaksin kan gratis toh, vaksin saja. Kecuali kalau tadi vaksin berbayar kita bisa protes... 
Pergerakan manusia saat mudik lebaran itu besar lho, itu mungkin yg mau diantisipasi pemerintah... Ayo vaksin ke 3...."
BMarheindra,2022-03-25 05:13:51,"@Steelblade4 @OposisiCerdas Vaksin 1 dan 2..kalaupun ada anjuran harus vaksin boster kan lebih bagus.. semangat nya agar Rakyat di NKRI jangan sampai rentan covid.
Lagian vaksin kan gratis, daripada swab nantinya bayar!!"
detikcom,2022-03-25 05:03:21,#FOTO Minyak goreng tengah diburu masyarakat karena langka di pasaran. Program vaksinasi COVID-19 di Kudus ini pun sediakan minyak goreng gratis untuk warga. https://t.co/2KNJYd3rHz
krisjimbaran,2022-03-25 04:46:02,@OposisiCerdas Ya bagus dong. Booster dulu biar gak kesamber covid 19 saat mudik. Diajak sehat kok masih bawel ? Vaksin gratis kok masih ember ? Kita booster dulu biar kelg di kampung juga aman.
bluechyu,2022-03-25 04:43:37,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
Daspan_Arya,2022-03-25 04:42:09,"@iwanjanuarcom Vaksin booster itu gratis, kl jd syarat mudik knp jd masalah tinggal divaksin aja, ngapain ribet, lagian buat jaga2 biar kekebalan tubuh kita lbh kuat jika terpapar omicron,,!"
iamzein,2022-03-25 04:35:10,"Minyak langka antri.
Bensin langka antri.

Sembako gratis antri.
Vaksin gratis antri.

Kesimpulan dari variabel diatas adalah . . ."
vr_zheng,2022-03-25 04:28:38,Polda Metro Jaya menyiapkan 400 dosis vaksin booster. Vaksinasi digelar di GBK pada Sabtu (26/3) mulai pukul 08.00 WIB. https://t.co/4GvKzd6W2N
erisama614,2022-03-25 04:28:10,"@Mbahhardiman @OposisiCerdas Kemarin waktu awal2 vaksin aja pada protes pemerintah hambur duit. Sekarang minta cover antigen atau PCR. Yang mudik pasti lebih dari ratusan ribu. Mungkin belasan atau puluhan juta. Nanti utang membengkak, pemerintah salah lagi. Padahal udah ngasih solusi gratis, tuh booster."
TitinMayhendra,2022-03-25 04:27:58,Syarat mudik harus sudah vaksin booster apakaah tiket pesawat &amp; bus gratis?
Kpknlbandaaceh,2022-03-25 04:24:10,"Kalau kita nggak bayar pajak, kualitas pelayanan publik jadi terdampak. Menurut #SobatKaeN, dari mana dana vaksin dan pelayanan isolasi terpadu gratis? 😆 #UangKitaBuatApa

Nah, jadi udah bayar pajak dan lapor SPT belum? Kalau belum, segera ya! 😃 https://t.co/bIVb8pb6JI"
AegisofRos,2022-03-25 03:58:25,"@hendrarprihadi @jokowi siap pak, vaksin gratis lho gak usah pada rewel dan nyinyir. apalagi di semarang posko vaksinnya banyak dan gampang"
arifinzulida,2022-03-25 03:47:26,"@MonangDjihado @ShamsiAli2 Semoga tidak gampang di bodohi ya pak, ya gak mau bayar tes antigen, tinggal boster gratis, malah nanti di siapkan tmpt vaksin di kantong2 pemberangkatan mudik, kurang baik apa lagi pemerintah ? Pemerintah mau yg mudik aman gak terkena virus masih aja di nyinyirin https://t.co/hEngBUBgEL"
FerdinanHasudu1,2022-03-25 03:45:22,@Helmi_Felis @jokowi Setidaknya dia telah berkontribusi hadirin vaksin covid di tubuh anda minimal 2X gratis
AP_Bhuu,2022-03-25 03:32:15,Polda Metro Jaya menyiapkan 400 dosis vaksin booster. Vaksinasi digelar di GBK pada Sabtu (26/3) mulai pukul 08.00 WIB. https://t.co/4GvKzd6W2N
kinniku_man,2022-03-25 03:31:54,"@detikcom makanya berangkat vaksin, lha gratis ini..."
mutiara_adhe,2022-03-25 03:15:54,"@diswayud1 @detikcom Lah malah bagus dong, malah rame diawal. Elah..mau sejuta, seribu, semilyar atau 3 org kl sampung lu positif COVID juga bahaya 😪😅

Bukan hanya soal berbayar, booster Itu ada jarak ya sama vaksin kedua 😌

Ya wajarlah, masak beli ticket n hotel mampu, antigen minta gratis 😪"
detikHealth,2022-03-25 03:15:43,#FOTO Minyak goreng tengah diburu masyarakat karena langka di pasaran. Program vaksinasi COVID-19 di Kudus ini pun sediakan minyak goreng gratis untuk warga. https://t.co/jXVqrC8bpD
detinitis,2022-03-25 03:15:20,@timmymalachi Tapi vaksin gratis ada aja alesannya a b c d sampe zz heran akutu..
autvnm,2022-03-25 03:13:52,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
Trigonometri08,2022-03-25 03:11:43,@your2rl Vaksin booster gratis ayang
jvchnwoo,2022-03-25 03:03:13,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
sibatucadas,2022-03-25 03:02:55,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
IUlilyy,2022-03-25 02:59:26,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
clouveris,2022-03-25 02:58:56,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
Matchalawtte,2022-03-25 02:55:58,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
ignamukti,2022-03-25 02:48:04,"@Jul3aRhma3 Saya pikir tidak ada yang membebani justru dengan booster bisa jadi melindungi diri sendiri, keluarga dan orang lain.
Selain itu vaksin kan gratis.
Kembali kepada seberapa peduli terhadap kesehatan sendiri dan orang lain."
bIissfavor,2022-03-25 02:47:21,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
siganiduniya,2022-03-25 02:44:19,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
hadianakurnia,2022-03-25 02:43:56,"@detikcom Tinggal vaksin aja kok repot...
GRATIS BRO..."
yourpetsfess,2022-03-25 02:42:54,🦔 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM. Bisa bayar pake tokped https://t.co/6aeL7RdxOy
5kbucks,2022-03-25 02:36:19,"Kl selain alasan medis yg buat orang ga bole divaksin, please vaksin dan boosterlah mumpung gratis"
luthfizenius,2022-03-25 02:34:38,"CEK Tiket Vaksin Booster Gratis di PeduliLindungi, Simak Syarat Vaksinasinya Berikut Ini https://t.co/9nF5OZvkNd"
jpnncom,2022-03-25 02:33:03,"Puskesmas Kecamatan Tebet, Jakarta Selatan menyediakan layanan vaksinasi dosis ketiga atau booster berhadiah minyak goreng #Vaksin https://t.co/ptZ9b8aVdF"
DheltzDjauw,2022-03-25 02:13:23,"@Steven77Susanto @detikcom Kan tinggal vaksin 1 dan 2 terus booster, ya itu syarat pademi. Tinggal lakukan gratis ini. Kecuali kmu ga bsa vaksin."
SeblackCrispy,2022-03-25 02:08:08,@umanggg22 Bagi² vaksin gratis ndak?
21BeritaTerkini,2022-03-25 01:56:06,CARA Daftar Vaksin Booster Gratis via PeduliLindungi dan Fasilitas Kesehatan untuk Masyarakat Umum https://t.co/QzcOMWeiQ1
oshaeryy,2022-03-25 01:40:13,Kalau vaksin nya suruh bayar barulah lu marah marah. ini gratis doang? gilaaa boomers banget
aprilriniapril,2022-03-25 01:31:17,Min @infobdg nyungkeun info lokasi vaksin booster gratis dong min 🙏🏽
dmnjh_,2022-03-25 01:29:16,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
Syaekhu23,2022-03-25 01:15:45,Polda Metro Jaya menyiapkan 400 dosis vaksin booster. Vaksinasi digelar di GBK pada Sabtu (26/3) mulai pukul 08.00 WIB. https://t.co/4GvKzd6W2N
detikcom,2022-03-25 01:01:27,Polda Metro Jaya menyiapkan 400 dosis vaksin booster. Vaksinasi digelar di GBK pada Sabtu (26/3) mulai pukul 08.00 WIB. https://t.co/4GvKzd6W2N
Benoe_Adja,2022-03-25 00:56:54,"@detikcom Kalo saya sih mudik yang berat bukan syaratnya, tapi ongkosnya... 🤣🤣🤣 Wong vaksin tinggal ceplus aja gratis, koq bilang berat."
chimex_1,2022-03-25 00:44:22,"@Hilmi28 Saya pilih gratis dan stock banyak.. 
Sampe di-uber2 buat ngambil... 
Kayak vaksin kemarin..."
Imam_piul,2022-03-25 00:31:21,"Hal-hal kayak gini selalu direspon dari sisi negatif: ketidakadilanlah, zalimlah, dst. Knp ngga dilihat dari manfaatnya dulu. Toh vaksin boosternya gratis. Kalo ngga mau divaksin, ya tinggal milih diswab. Ngga mau juga, ya sudah abaikan. Mudik ya mudik saja."
awtafayas,2022-03-25 00:13:02,@ba_wcksn @detikcom https://t.co/cVb2pzdvPq gratis tapi begini mah bikin was2 yang udah kedaluwarsa diperpanjang lagi
AgastyArcanA,2022-03-24 23:42:27,"@detikcom @henrysubiakto tinggal vaksin aja kok ribet banget.
vaksin nya juga gratis kok."
AgusDar71898211,2022-03-24 23:06:00,@detikcom Mungkin masyarakat +62 gengsi kalo vaksin gratis. Nanti kalo sudah 💯 % komersil/berbayar mau vaksin....😂
SuronoOno6,2022-03-24 22:54:25,@detikcom Suruh vaksin gratis ngomel..apalagi jika bayar???
ba_wcksn,2022-03-24 22:26:59,@yyeorobun @detikcom Pdhl skrg vaksin gratis ada dmn2 &amp; cepet
PambudiTri,2022-03-24 22:17:35,"@MonangDjihado @ShamsiAli2 Hi pemalas, Vaksin Booster GRATIS!  Tinggal datang.."
Margareta_Flock,2022-03-24 21:56:09,"@agungbayuriju1 @OposisiCerdas Booster kan gratis , sisi bisnisnya di mana ? Malah banyak vaksin booster yg kadaluwarsa di beberapa daerah lho"
Aanptp,2022-03-24 21:55:04,@ShamsiAli2 Vaksin gratis tinggl dtang aja udah kok.. dasarnya saja benci pemerintahan.... Mudik itu pergerakanya masiv jutaan orang dan saling berkeliling silaturahmi.. balapan motor cuna ratusan ribu penonton
awendehay,2022-03-24 21:12:45,"@yaRahmaan01 @detikcom wkwkkwkw benerr ini, vaksin gratis, boster gratiss, dipermudah biar ga pake antigen malah banyak bcott"
om_yayan,2022-03-24 18:51:53,"@Helmi_Felis @jokowi Ngomong nyinyir kayak gini tp pas ada bansos antrinya paling depan, ada vaksin gratis antrinya mulai jam 5 pagi, ga malu lu pelis?"
pithuwalu1978,2022-03-24 18:05:20,@ShamsiAli2 Susah amat ya ngatur orang yg ngakunya beriman... Sama pemerintah aja ngelawan terus... Apa susanya sih vaksin... Gratis lagi... Makanya kalo disuruh vaksin ya vaksin... Nurut dikit napa... Mayoritas orang yg sudah di vaksin sehat2 aja dan lebih banyak yg masih idup...🙏🙏
tribun_riau,2022-03-24 17:55:18,"Jadi Syarat Mudik, Yuk Vaksin Booster Gratis di GBK Weekend Ini! https://t.co/gFBROlvibm"
IntanKarmila14,2022-03-24 17:23:01,"@03__nakula Setuju dgn syarat vaksin booster. Biar imun masyarakat semakin kuat. Toh vaksin itu kan gratis, tdk memberatkan."
ISupart,2022-03-24 17:10:22,"@detikcom Ini siapa tolol! Begitu massivnya vaksin dan gratis ngomong masih ada yg belum divaksin sama sekali? Kalau benar ada itu kelompok kamu yg membodohi rakyat? Sebaiknya pemerintah mengumumkan org2 yg tdk mau vaksin di setiap daerah, rt, rw, biar masyarakat yg menolak kehadirannya!"
eef_heryanto,2022-03-24 16:58:04,@davidbimantoro @encus_susi @ZAEffendy ya balik lg ke konteks awal: vaksin itu tidak gratis.
tanel_1811,2022-03-24 16:35:10,"@detikcom coba dicek kalo skrg masih ada yg blom vaksin pertama itu krn apa? tpt vaksin gratis dimana2 udh byk n ga ngantri, malah pd jemput bola..kalo emang ogah divaksin ya jelas gaboleh mudik, kalo emang komorbid krn lanjut usia ya sama jg gausah mudik drpd nyusahin."
davidbimantoro,2022-03-24 16:29:09,"@usman_nud @ghozihanif22 @encus_susi @ZAEffendy padahal kalo mau persentase vaksin booster naik, caranya gampang

buat kamu yg belum booster, yuk divaksin, nanti diundi terus kalo menang, dapet hadiah GRATIS

1 TIKET MOTO GP + AKOMODASI 
2 MEET AND GREAT dengan Marquez
3 TIKET NONTON BTS / ARTIS KOREA LAIN"
davidbimantoro,2022-03-24 16:13:15,"@usman_nud @ghozihanif22 @encus_susi @ZAEffendy konteks saya vaksin gratis = rakyat ga perlu bayar lagi
tinggal dateng dan disuntik

kalo pemerintah jelas keluarin APBN buat pengadaan vaksin"
helloooonita,2022-03-24 16:11:39,btw vaksin booster ini msh gratis ga sih? https://t.co/OFhj98osKB
davidbimantoro,2022-03-24 16:00:34,"@usman_nud @ghozihanif22 @encus_susi @ZAEffendy ya kalo mau usut pengadaan vaksin ya minta ke kpk sana

konteksnya di sini vaksin uda tersedia, rakyat tinggal pake dngn gratis, buat kesehatan diri dan keluarga"
usman_nud,2022-03-24 15:58:10,"@davidbimantoro @ghozihanif22 @encus_susi @ZAEffendy Hampir semua aksi korup di luar pengamatan rakyat, kita hanya akan sadar ketika kasusnya sudah muncul kepermukaan kan, narasinya kok kaya menormalisasi korupsi ya 🙃

Btw, Gabisa gitu donk, emang negara dapet itu vaksin gratis? Ada anggaran yang digunakan"
davidbimantoro,2022-03-24 15:51:24,"@usman_nud @ghozihanif22 @encus_susi @ZAEffendy ya kalo ada pejabat korup ya uda di luar pengamatan rakyat

toh yg penting itu vaksin uda ada, tinggal dipake, selama gratis  ga usah bayar, ga usah resah toh"
niveusforte,2022-03-24 15:36:52,"@shllyvni lenyap engga tp keknya bakal jd biasa aja kek virus yg udh ada gt

i mean toh byk yg udh di vaksin jg dan org masih dikasi vaksin gratis sama pemerintah jd ada jg usaha buat meminimalisir dampak fatalnya"
deletesoonsoon,2022-03-24 15:32:34,"@jaelimite Sek belum ngerjain konten day 2 :')

Heh, wes vaksin 2 ta? Aku ada 2 tiket gratis SurabayaXBeauty"
pamungkas_sri,2022-03-24 15:09:06,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
fatuknutu2022,2022-03-24 15:03:56,Pembagian minyak goreng gratis ini merupakan kerja sama Papmiso dan Polres Bekasi.  https://t.co/KzsPjr7ORG
republikaonline,2022-03-24 15:02:57,Pembagian minyak goreng gratis ini merupakan kerja sama Papmiso dan Polres Bekasi.  https://t.co/KzsPjr7ORG
ajgbinggung,2022-03-24 14:58:27,"lucu juga ya, vaksin biar dpt minyak gratis trs yg udah vaksin gimana ya"
Shihab_MR,2022-03-24 14:54:56,"padahal booster gratis, dan terbukti pada belom mati juga abis disuntik ga seperti gembar gembor pas awal vaksin. adu domba aja terus kzl banget https://t.co/C6AgGAGZu7"
letsfightghos,2022-03-24 14:51:03,@KamidGooner @detikcom Ketidakadilan? Apa yg tidak adil? Cuma disuruh booster. Berapa lama booster? Booster jg gratis tinggal daftar online datang ke tempat vaksin beres. Mudik bisa. Mudik itu masih sebulan lg. Bisa dicari vaksin booster. Masih bilang dak adil?
letsfightghos,2022-03-24 14:43:16,@geloraco Apo sih masalahnyo dengan booster? Pemerintah sudah menyiapkan vaksin booster tinggal datang ke tempat vaksin yg disediakan. Sudah selesai booster mudik biso. Kecuali kalo booster itu bayar baru boleh kito protes. Selagi disediakan pemerintah dan gratis yo booster bae
fahmi1223ts,2022-03-24 14:43:14,"@ShamsiAli2 Saya tadinya berharap sebagai pemuka agama Anda turut menghimbau: ""Yuk banjirin pusat² booster vaksin yg disediakan pemerintah secara gratis. Mudik aman dan sehat. "" 
Apa ekspektasi saya ketinggian ya?"
IntanKarmila14,2022-03-24 14:33:30,@detikcom Booster itu vaksin gratis. Yg mudik jutaan. Tinggal vaksin aja kok ribet.
abangjun,2022-03-24 14:21:38,"@ShamsiAli2 Saat itu berlaku PCR/Swab....vaksin gratis,PCR/Swab bayar"
saifumam,2022-03-24 14:14:32,"Vaksin 1,2 dan booster sdh disediakan gratis oleh pemerintah. Kita tinggal datang ke tempat2 yg ditunjuk untuk mendapatkannya. Mengapa kalian ribut ktk pmrnth meminta masy utk melakukannya sblm mudik lebaran nnt? Ngaku sj kalian anti vaksin!"
_NonaSari,2022-03-24 13:45:56,Vaksin dah disedain gratis tapi masih bacot aja ya brati emang niatnya ngesruh.
yunimoesseno,2022-03-24 13:24:47,"@himura89517038 @ZAEffendy @Ziffari_Zizi2 Penting warga nya dpt vaksin 1,2 &amp; booster gratis s/d saat ini. Yg tidak sdng terkendala sakit apa sulitnya daftar, datangi, dapatkan vaksin &amp; booster lengkap spy bs gerak bebas kumpul2, pergi2, tarawih mumpung tradisi mudik jg msh 1 bulan lagi"
kinan_hp,2022-03-24 13:18:25,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
arisutrisna_ari,2022-03-24 13:17:33,"@NangRasyid @ShamsiAli2 Saya tadinya juga berharap SEBAGAI pemimpin negeri: Yuk banjir pusat pusat booster vaksin yang disediaman Pemerintah secara gratis. NONTON MOTO GP AMAN DAN SEHAT. 
APAKAH ekspektasi saya ketinggian ya"
MalangTerkini_,2022-03-24 13:06:19,"Gratis! Info Lokasi dan Jadwal Vaksin Booster Malang Raya, Maret 2022 untuk Umum, Bisa Daftar di Tempat https://t.co/kaodpIZlRr"
katiebelltwins,2022-03-24 12:40:42,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
MamaDen_,2022-03-24 12:21:03,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
yunimoesseno,2022-03-24 12:19:39,"@ZAEffendy Ndang cepet daftar datangi dapatkan vaksin 1 &amp; 2 juga booster, semua itu gratis tis. di centra2 vaksin.
mumpung  ""mudik"" masih jauh, msh bulan depan. Apa sulitnya kita urus siapkan diri sendiri lbh dulu sebelum bantu urus orang lain."
BMarheindra,2022-03-24 12:12:24,"@OposisiCerdas Vaksin gratis.. semangat nya agar Rakyat NKRI tidak rentan terhadap covid, kalau tidak mau vaksin tidak usah naik pesawat,kereta / kapal laut..gitu aja kok repot!!!
Aturan pemerintah untuk kebaikan bersama baik yg mudik ataupun yang di tuju!!"
itsme_ini,2022-03-24 12:06:46,"@DaniCicadasBdg Moal...
Suasana vaksin di PIM 3..gratis.. penuh..ini salah satu buat syarat mudik lebaran jg kali yaa.. 😂😂 https://t.co/yy5Y0avpDC"
kopikasiii,2022-03-24 12:05:07,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
orgnyangumpet,2022-03-24 12:02:52,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
BMarheindra,2022-03-24 11:59:44,"@bukan4non @ShibaToTheMoon @Dar_Sons9021 @giderha @tvOneNews Bukannya untuk vaksin gratis???Dengan vaksin akan tidak rentan dengan covid .mungkin otakmu yg cuma dikit!!
Semangat nya adalah agar Rakyat di NKRI terhidar dari virus!!
Salahnya dimana????"
blanksp27132678,2022-03-24 11:59:22,🐟 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oELY20FzS1
armeyn_n,2022-03-24 11:58:16,"@republikaonline Vaksin dan booster gratis, sekalian antigen dan swab gratis jg donk"
nathmeong,2022-03-24 11:56:39,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
summersatvrn,2022-03-24 11:53:39,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
zarmayana,2022-03-24 11:50:45,🔥 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/Of4N6Hn2D8
zarmayana,2022-03-24 11:50:37,🐟 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oELY20FzS1
zarmayana,2022-03-24 11:50:23,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
upeakaboo,2022-03-24 11:44:30,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
LegoJL5,2022-03-24 11:42:11,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
yourkwanim,2022-03-24 11:41:58,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
tiffangtastic,2022-03-24 11:41:15,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
kochengfess,2022-03-24 11:40:00,🐈 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oyPFvZNWaK
yourpetsfess,2022-03-24 11:39:05,🐟 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/oELY20FzS1
DISKON_FESS,2022-03-24 11:38:01,🔥 Yuk ikut steril subsidi! Harga terjangkau ditambah GRATIS ANTAR JEMPUT. Ada juga antar jemput vaksin dan grooming. Hubungi kontak diatas yaa! Atau reply aja nanti aku DM https://t.co/Of4N6Hn2D8
Wongbiasa1818,2022-03-24 11:37:19,"@detikcom Vaksin gratis ini kan,sdh lah ga usah di bikin polemik"
IrmaMarsela,2022-03-24 11:26:10,"@cowokberkemeja Kalau covid melonjak, buat biaya pengobatan nya yg gratis itu pake dana dr mana? APBN jg kan?Gede mana biaya pencegahan dgn vaksin atau pengobatan. Masak gak mau kyk Belanda yg bebas masker dgn pencapain booster diatas 90%"
calonmantumamaa,2022-03-24 10:59:06,info vaksin booster di sleman yang ngga bayar/bisa pake bpjs/apa pun itu asal gratis dong.
