username,tweetcreatedts,text
shiespiss,2022-03-26 08:23:40,@Fatih_hoppus @Sutebe5 @kurawa Dibohongi gmn? Bukannya vaksin gratis ya?
Lacukamamo,2022-03-26 07:33:09,"@Adjoery1 @doeloh12 @realAbikaTrader Bukan cuman bantuan, surat menyurat bakal di persulit...
Stadion temanggung Abdul Jamal Batam. Proses ????
Vaksin gratis dr pemko https://t.co/bVAftGZFsy"
Kota_Tangerang,2022-03-26 07:02:22,"@afiagummi Selamat siang, kami informasikan untuk vaksin gratis yang diselenggarakan oleh Klinik Hewan DKP Kota Tangerang telah dibuka sejak 14 Maret 2022. Berikut kami lampirkan syarat dan ketentuan pendaftaran di Klinik Hewan DKP Kota Tangerang.
Terima kasih -NH https://t.co/OhTY8G1LMk"
reflection_8_,2022-03-26 06:54:37,"@Adjoery1 @doeloh12 @realAbikaTrader Bukan cuman bantuan, surat menyurat bakal di persulit...
Stadion temanggung Abdul Jamal Batam. Proses ????
Vaksin gratis dr pemko https://t.co/bVAftGZFsy"
strike_bravo_b,2022-03-26 05:45:39,"@syndichrone Ngga, kita dapet vaksin flu burung gratis jaman mega"
polsek_tapan,2022-03-26 05:21:20,"Ayo Kita Vaksin... GRATIS

Vaksin Aman,  Sehat dan bermanfaat

#MariVaksin
#TetapPatuhiProkes https://t.co/vQTa0gdWni"
pon_aris,2022-03-26 04:56:26,@Adhek_Byt Dan 1 lagi wajib vaksin kalau GK vaksin GK bisa ikut UTS oh ya yg pakai BPJS katanya gratis Mbah mu tai kebo itu iuran tiap bulan GK bayar
ADwihananto,2022-03-26 04:46:28,"@detikcom Di luar negeri, sdh bebas krn hampir semua sdh vaksin, biasa ajalah gak bayar ini gratis
.."
juherman1,2022-03-26 04:41:58,"@hnurwahid Yg wajib booster kan Mudik nya, bukan sholat taraweh nya, Mudik Masih LAMA kok lebih 1 bln. Vaksin booster itu sdh di sediakan GRATIS oleh pemerintah, dimana2 ada yg buka Vaksin booster. Masih lama kok Mudik kok nolak sarat booster. Aneh wakil rakyat ini, Vaksin utk kesehatan jg"
duniadian,2022-03-26 04:39:37,"Sementara vaksin booster Sinopharm yang kata Pak @erickthohir tersedia di ratusan klinik Kimia Farma hanya bisa diakses oleh perusahaan. Alias tidak gratis.

#vaksin #vaksinbooster #vaksinsinopharm #vaksinasinasional https://t.co/PSYcj772Do"
maryanti_oemar,2022-03-26 04:20:08,"@pengarang_sajak Ada vaksin gratis di salahkan ..ngga ada vaksin Pemerintah pst di hujat habis""n..ngga di ijinkan mudik Pemerintah dzalim,di ijinkan mudik ada lg nyinyirannya..lhu vaksin ke 3 taw ngga pasti bisa mudik yg penting punya duit."
malangposco,2022-03-26 04:20:01,"Jatim Park Group Buka Wisata Vaksin, Beri 15 Tiket Gratis Pendaftar Tercepat https://t.co/wHofZLvqhi @infomalang @infomalang @Senaputra_FM"
wiswidy,2022-03-26 04:13:55,"Syarat mudik sangat mudah dan gratis pastinya, yaitu vaksin booster. 
Booster Mudik Aman https://t.co/V67MzUVZQJ"
afiagummi,2022-03-26 03:42:13,"@Kota_Tangerang selamat pagi, apakah Kota Tangerang sudah ada rencana untuk mengadakan vaksin gratis lagi untuk kucing?"
LJLIWOSO,2022-03-26 03:26:13,@CNNIndonesia Tak perlu dipolemikkan. Vakzin buzter unguk kebaikan masyarakat. Vaksin diberikan secara gratis. Juga ada alternatif yaitu PCR
syafrieddy,2022-03-26 02:33:02,"@ShamsiAli2 Kenapa anda tidak menyarankan ummat Islam utk vaksin dan booster? Vaksin dan booster gratis. Vaksin dan booster untuk kebaikan dari ummat islam itu sendiri.
Cobalah anda melihatnya dari perspektif yg berbeda. Jangan hasut ummat untuk melawan pemerintah."
cakbas30814072,2022-03-26 01:51:12,"@PDemokrat surabaya jalan raya kertajaya indah
mengadakan 2000 vaksin booster gratis jam 09:00
== terima kasih, apresiasi 👍 ==, hanya sj jelek pengaturannya:
1. bikin macet
2. antrian sampai hampir 500 meter
3. cuaca mendung
4. d seberangnya ada lap KONI yg jauh lbh besar
????? https://t.co/h28x2svGFO"
fridayflorencia,2022-03-26 01:36:59,"@Ayudiahb Ke senayan aja bel, di GBK auto langsung vaksin dan gratis juga"
polresbontang,2022-03-26 01:17:49,"Di sampaikan kepada warga kota Bontang baik yang ber Ktp Bontang maupun ber Ktp luar kota Bontang, yang belum Vaksin 1, 2 dan 3 (Booster) kami tunggu di Aula Parama Satwika Polres Bontang, Sabtu (26/03/2022) dari jam 10.00 - 13.00 Wita Gratis tis tis jangan lupa ya, kami tunggu. https://t.co/rXqpPz5d4a"
didiklpambudi,2022-03-26 01:14:34,"Bagi warga yang ingin mendapatkan vaksin ketiga atau booster, kali ini DPD Partai Demokrat Jawa Timur menggelar acara “#DemokratLawanCorona”.

Partai Demokrat menyediakan vaksin booster gratis untuk warga Jatim. Berikut jadwalnya:

https://t.co/iCJUDZLae2"
Pencerah__,2022-03-26 00:08:38,"Vaksin booster di Jakarta 
dapat minyak goreng gratis. 

Cek lokasi dan tempat vaksin booster dapat minyak goreng gratis di Jakarta berikut ini : 👇
https://t.co/UOei3zdve3"
Pdemokratkabsrg,2022-03-25 23:28:09,"Bagi warga yang ingin mendapatkan vaksin ketiga atau booster, kali ini DPD Partai Demokrat Jawa Timur menggelar acara “#DemokratLawanCorona”.

Partai Demokrat menyediakan vaksin booster gratis untuk warga Jatim. Berikut jadwalnya:

https://t.co/iCJUDZLae2"
